Date,Price
14/04/2021,21042
15/04/2021,21500
16/04/2021,21833
19/04/2021,22583
20/04/2021,22583
22/04/2021,21083
23/04/2021,22458
26/04/2021,21792
27/04/2021,21750
28/04/2021,22917
29/04/2021,22875
04/05/2021,22000
05/05/2021,21833
06/05/2021,21500
07/05/2021,21417
10/05/2021,20750
11/05/2021,21417
12/05/2021,21125
13/05/2021,22500
14/05/2021,22750
17/05/2021,22458
18/05/2021,21667
19/05/2021,21917
20/05/2021,21667
21/05/2021,21708
24/05/2021,21708
25/05/2021,22333
26/05/2021,23875
27/05/2021,25542
28/05/2021,26583
31/05/2021,27333
01/06/2021,27083
02/06/2021,25958
03/06/2021,26667
04/06/2021,27833
07/06/2021,27292
08/06/2021,25583
09/06/2021,25917
10/06/2021,25250
11/06/2021,25333
14/06/2021,25333
15/06/2021,25000
16/06/2021,24250
17/06/2021,24167
18/06/2021,24833
21/06/2021,24542
22/06/2021,24625
23/06/2021,24417
24/06/2021,24292
25/06/2021,24375
28/06/2021,24833
29/06/2021,25417
30/06/2021,25250
01/07/2021,25583
02/07/2021,26125
05/07/2021,26458
06/07/2021,25417
07/07/2021,25417
08/07/2021,24458
09/07/2021,24083
12/07/2021,24000
13/07/2021,23417
14/07/2021,22083
15/07/2021,22583
16/07/2021,22500
19/07/2021,21625
20/07/2021,21500
21/07/2021,21458
22/07/2021,22500
23/07/2021,21667
26/07/2021,21667
27/07/2021,20750
28/07/2021,20625
29/07/2021,21667
30/07/2021,22000
02/08/2021,21500
03/08/2021,22500
04/08/2021,22875
05/08/2021,22958
06/08/2021,22458
09/08/2021,22583
10/08/2021,22250
11/08/2021,22208
12/08/2021,22250
13/08/2021,21917
16/08/2021,22125
17/08/2021,22125
18/08/2021,21917
19/08/2021,21583
20/08/2021,20750
23/08/2021,20000
24/08/2021,20083
25/08/2021,20500
26/08/2021,20208
27/08/2021,20500
30/08/2021,21250
31/08/2021,21125
01/09/2021,20875
06/09/2021,20792
07/09/2021,21667
08/09/2021,21250
09/09/2021,21208
10/09/2021,21500
13/09/2021,21250
14/09/2021,21333
15/09/2021,21250
16/09/2021,21000
17/09/2021,21667
20/09/2021,21083
21/09/2021,20625
22/09/2021,20667
23/09/2021,20250
24/09/2021,20042
27/09/2021,19833
28/09/2021,19875
29/09/2021,19583
30/09/2021,19667
01/10/2021,19042
04/10/2021,18417
05/10/2021,18667
06/10/2021,18583
07/10/2021,18375
08/10/2021,18667
11/10/2021,19417
12/10/2021,19333
13/10/2021,19250
14/10/2021,19667
15/10/2021,19417
18/10/2021,19333
19/10/2021,19750
20/10/2021,19500
21/10/2021,19333
22/10/2021,19500
25/10/2021,19292
26/10/2021,19333
27/10/2021,19583
28/10/2021,19667
29/10/2021,18750
01/11/2021,19417
02/11/2021,20750
03/11/2021,21625
04/11/2021,21292
05/11/2021,21083
08/11/2021,21000
09/11/2021,21250
10/11/2021,21667
11/11/2021,22000
12/11/2021,23500
15/11/2021,23833
16/11/2021,23500
17/11/2021,23083
18/11/2021,22333
19/11/2021,23167
22/11/2021,23083
23/11/2021,22917
24/11/2021,24500
25/11/2021,24375
26/11/2021,24000
29/11/2021,23625
30/11/2021,22833
01/12/2021,22792
02/12/2021,23167
03/12/2021,22500
06/12/2021,21000
07/12/2021,21333
08/12/2021,22250
09/12/2021,22583
10/12/2021,22333
13/12/2021,22042
14/12/2021,22333
15/12/2021,22042
16/12/2021,21667
17/12/2021,21667
20/12/2021,22042
21/12/2021,22292
22/12/2021,22750
23/12/2021,24333
24/12/2021,26000
27/12/2021,27792
28/12/2021,29583
29/12/2021,28500
30/12/2021,28167
31/12/2021,28083
04/01/2022,28250
05/01/2022,28583
06/01/2022,28500
07/01/2022,27833
10/01/2022,27250
11/01/2022,27542
12/01/2022,28167
13/01/2022,28500
14/01/2022,28208
17/01/2022,27417
18/01/2022,26958
19/01/2022,26958
20/01/2022,27167
21/01/2022,27833
24/01/2022,28167
25/01/2022,29083
26/01/2022,29375
27/01/2022,29417
28/01/2022,31208
07/02/2022,29958
08/02/2022,29750
09/02/2022,29000
10/02/2022,29167
11/02/2022,29833
14/02/2022,30458
15/02/2022,31042
16/02/2022,29833
17/02/2022,30083
18/02/2022,29958
21/02/2022,29417
22/02/2022,29167
23/02/2022,27500
24/02/2022,28000
25/02/2022,29083
28/02/2022,28208
01/03/2022,28208
02/03/2022,26667
03/03/2022,26708
04/03/2022,26250
07/03/2022,27792
08/03/2022,27625
09/03/2022,28958
10/03/2022,28583
11/03/2022,29500
14/03/2022,30500
15/03/2022,30833
16/03/2022,31208
17/03/2022,30708
18/03/2022,30000
21/03/2022,30167
22/03/2022,30208
23/03/2022,30792
24/03/2022,30208
25/03/2022,30667
28/03/2022,30625
29/03/2022,31250
30/03/2022,31167
31/03/2022,30750
01/04/2022,31000
04/04/2022,30583
05/04/2022,30250
06/04/2022,30375
07/04/2022,30042
08/04/2022,29250
12/04/2022,28167
13/04/2022,28417
14/04/2022,28167
15/04/2022,27750
18/04/2022,26375
19/04/2022,26125
20/04/2022,26083
21/04/2022,25583
22/04/2022,26500
25/04/2022,25250
26/04/2022,25625
27/04/2022,25667
28/04/2022,25000
29/04/2022,25000
04/05/2022,24458
05/05/2022,24958
06/05/2022,24667
09/05/2022,24500
10/05/2022,24500
11/05/2022,26208
12/05/2022,26333
13/05/2022,26083
16/05/2022,25917
17/05/2022,26250
18/05/2022,26250
19/05/2022,25333
20/05/2022,25750
23/05/2022,25708
24/05/2022,26333
25/05/2022,27083
26/05/2022,27083
27/05/2022,28417
30/05/2022,28333
31/05/2022,27667
01/06/2022,27083
02/06/2022,26625
03/06/2022,26250
06/06/2022,26208
07/06/2022,25417
08/06/2022,25917
09/06/2022,25292
10/06/2022,25333
13/06/2022,25750
14/06/2022,26083
15/06/2022,25583
16/06/2022,25500
17/06/2022,26125
20/06/2022,26167
21/06/2022,26250
22/06/2022,26417
23/06/2022,26542
24/06/2022,26208
27/06/2022,26208
28/06/2022,27958
29/06/2022,26667
30/06/2022,26667
01/07/2022,27000
04/07/2022,27000
05/07/2022,27083
06/07/2022,26667
07/07/2022,26125
08/07/2022,25958
11/07/2022,25542
12/07/2022,25875
13/07/2022,25750
14/07/2022,25625
15/07/2022,25792
18/07/2022,25542
19/07/2022,25583
20/07/2022,25625
21/07/2022,25583
22/07/2022,25667
25/07/2022,25417
26/07/2022,25083
27/07/2022,25000
28/07/2022,24958
29/07/2022,25000
01/08/2022,25125
02/08/2022,25250
03/08/2022,25667
04/08/2022,25458
05/08/2022,25333
08/08/2022,25167
09/08/2022,25167
10/08/2022,25000
11/08/2022,25000
12/08/2022,24958
15/08/2022,25000
16/08/2022,25000
17/08/2022,25000
18/08/2022,24917
19/08/2022,24750
22/08/2022,24917
23/08/2022,25083
24/08/2022,25000
25/08/2022,24917
26/08/2022,26000
29/08/2022,25792
30/08/2022,25417
31/08/2022,25292
05/09/2022,25250
06/09/2022,25250
07/09/2022,25292
08/09/2022,25542
09/09/2022,25500
12/09/2022,25375
13/09/2022,25750
14/09/2022,27542
15/09/2022,29417
16/09/2022,28417
19/09/2022,29083
20/09/2022,29417
21/09/2022,28750
22/09/2022,29208
23/09/2022,28917
26/09/2022,29250
27/09/2022,29583
28/09/2022,29167
29/09/2022,30625
30/09/2022,28500
03/10/2022,27750
04/10/2022,27083
05/10/2022,28958
06/10/2022,30792
07/10/2022,31000
10/10/2022,31000
11/10/2022,30833
12/10/2022,30833
13/10/2022,31500
14/10/2022,30750
17/10/2022,30833
18/10/2022,30833
19/10/2022,30875
20/10/2022,30833
21/10/2022,30667
24/10/2022,30417
25/10/2022,32500
26/10/2022,33250
27/10/2022,35000
28/10/2022,32833
31/10/2022,30833
01/11/2022,30000
02/11/2022,28375
03/11/2022,29167
04/11/2022,27208
07/11/2022,25333
08/11/2022,25000
09/11/2022,23250
10/11/2022,21625
11/11/2022,20125
14/11/2022,18750
15/11/2022,17458
16/11/2022,16250
17/11/2022,15125
18/11/2022,16167
21/11/2022,15042
22/11/2022,16083
23/11/2022,16208
24/11/2022,15792
25/11/2022,15917
28/11/2022,16208
29/11/2022,17333
30/11/2022,18333
01/12/2022,17500
02/12/2022,17917
05/12/2022,18292
06/12/2022,17083
07/12/2022,16250
08/12/2022,17375
09/12/2022,18583
12/12/2022,19875
13/12/2022,21250
14/12/2022,22667
15/12/2022,23333
16/12/2022,22833
19/12/2022,23250
20/12/2022,23750
21/12/2022,24000
22/12/2022,23333
23/12/2022,23208
26/12/2022,21833
27/12/2022,22583
28/12/2022,23250
29/12/2022,22500
30/12/2022,23292
03/01/2023,22833
04/01/2023,22625
05/01/2023,23000
06/01/2023,23417
09/01/2023,24000
10/01/2023,23417
11/01/2023,21833
12/01/2023,20833
13/01/2023,21458
16/01/2023,22292
17/01/2023,22292
18/01/2023,22250
19/01/2023,22583
27/01/2023,22458
30/01/2023,21667
31/01/2023,21667
01/02/2023,21417
02/02/2023,21083
03/02/2023,21083
06/02/2023,21500
07/02/2023,20833
08/02/2023,20375
09/02/2023,20542
10/02/2023,19125
13/02/2023,17792
14/02/2023,18417
15/02/2023,17500
16/02/2023,18333
17/02/2023,19200
20/02/2023,19150
21/02/2023,20200
22/02/2023,19700
23/02/2023,19600
24/02/2023,19150
27/02/2023,18200
28/02/2023,18000
01/03/2023,18000
02/03/2023,18350
03/03/2023,18000
06/03/2023,18250
07/03/2023,19500
08/03/2023,20400
09/03/2023,20400
10/03/2023,20500
13/03/2023,20100
14/03/2023,19350
15/03/2023,20000
16/03/2023,20050
17/03/2023,19550
20/03/2023,18750
21/03/2023,18550
22/03/2023,19000
23/03/2023,19000
24/03/2023,19100
27/03/2023,19200
28/03/2023,19000
29/03/2023,18900
30/03/2023,18950
31/03/2023,18900
03/04/2023,19600
04/04/2023,19550
05/04/2023,19600
06/04/2023,19300
07/04/2023,19100
10/04/2023,19100
11/04/2023,19250
12/04/2023,19550
13/04/2023,19600
14/04/2023,19750
17/04/2023,19750
18/04/2023,19500
