Date,Price
14/04/2021,44751
15/04/2021,44189
16/04/2021,44288
19/04/2021,45412
20/04/2021,47097
22/04/2021,47097
23/04/2021,48750
26/04/2021,47097
27/04/2021,46899
28/04/2021,46271
29/04/2021,46569
04/05/2021,46073
05/05/2021,46569
06/05/2021,46932
07/05/2021,46337
10/05/2021,45643
11/05/2021,45445
12/05/2021,46106
13/05/2021,46271
14/05/2021,47097
17/05/2021,46767
18/05/2021,46833
19/05/2021,46833
20/05/2021,49576
21/05/2021,48056
24/05/2021,48254
25/05/2021,48254
26/05/2021,47891
27/05/2021,47064
28/05/2021,47164
31/05/2021,45775
01/06/2021,45114
02/06/2021,45875
03/06/2021,45941
04/06/2021,45445
07/06/2021,44982
08/06/2021,44949
09/06/2021,45081
10/06/2021,44718
11/06/2021,45280
14/06/2021,45643
15/06/2021,45577
16/06/2021,45280
17/06/2021,45941
18/06/2021,46602
21/06/2021,48188
22/06/2021,48254
23/06/2021,47593
24/06/2021,47593
25/06/2021,47494
28/06/2021,48089
29/06/2021,48585
30/06/2021,50237
01/07/2021,49940
02/07/2021,51824
05/07/2021,55030
06/07/2021,51229
07/07/2021,54798
08/07/2021,57013
09/07/2021,58335
12/07/2021,58368
13/07/2021,57839
14/07/2021,55030
15/07/2021,55228
16/07/2021,55558
19/07/2021,51725
20/07/2021,54402
21/07/2021,54005
22/07/2021,54600
23/07/2021,53443
26/07/2021,52980
27/07/2021,52220
28/07/2021,51923
29/07/2021,53807
30/07/2021,54236
02/08/2021,56153
03/08/2021,56153
04/08/2021,56186
05/08/2021,57178
06/08/2021,56682
09/08/2021,57442
10/08/2021,57475
11/08/2021,57839
12/08/2021,56186
13/08/2021,56517
16/08/2021,56219
17/08/2021,56153
18/08/2021,57013
19/08/2021,57013
20/08/2021,54203
23/08/2021,52253
24/08/2021,53047
25/08/2021,53377
26/08/2021,53542
27/08/2021,54369
30/08/2021,54943
31/08/2021,55141
01/09/2021,54744
06/09/2021,55141
07/09/2021,54794
08/09/2021,55340
09/09/2021,59066
10/09/2021,59066
13/09/2021,62096
14/09/2021,61848
15/09/2021,61897
16/09/2021,61401
17/09/2021,61103
20/09/2021,61103
21/09/2021,61500
22/09/2021,62444
23/09/2021,65573
24/09/2021,64828
27/09/2021,62593
28/09/2021,62941
29/09/2021,63487
30/09/2021,63487
01/10/2021,62692
04/10/2021,62692
05/10/2021,62990
06/10/2021,63735
07/10/2021,63586
08/10/2021,63984
11/10/2021,64332
12/10/2021,65623
13/10/2021,66517
14/10/2021,66319
15/10/2021,65772
18/10/2021,64928
19/10/2021,64431
20/10/2021,64182
21/10/2021,63090
22/10/2021,63388
25/10/2021,63785
26/10/2021,63586
27/10/2021,65573
28/10/2021,65573
29/10/2021,65275
01/11/2021,64580
02/11/2021,64033
03/11/2021,63984
04/11/2021,64530
05/11/2021,65573
08/11/2021,65375
09/11/2021,64580
10/11/2021,65325
11/11/2021,67064
12/11/2021,67560
15/11/2021,69250
16/11/2021,68504
17/11/2021,68504
18/11/2021,69051
19/11/2021,69051
22/11/2021,68852
23/11/2021,71038
24/11/2021,71535
25/11/2021,72031
26/11/2021,70293
29/11/2021,68306
30/11/2021,69001
01/12/2021,69001
02/12/2021,68057
03/12/2021,66319
06/12/2021,65275
07/12/2021,66319
08/12/2021,66517
09/12/2021,66567
10/12/2021,66617
13/12/2021,67014
14/12/2021,67262
15/12/2021,67511
16/12/2021,66368
17/12/2021,66815
20/12/2021,66070
21/12/2021,66070
22/12/2021,66964
23/12/2021,66368
24/12/2021,66865
27/12/2021,67014
28/12/2021,67461
29/12/2021,66766
30/12/2021,66716
31/12/2021,67511
04/01/2022,68455
05/01/2022,68107
06/01/2022,68306
07/01/2022,67312
10/01/2022,66070
11/01/2022,65474
12/01/2022,67560
13/01/2022,67312
14/01/2022,66567
17/01/2022,64580
18/01/2022,64630
19/01/2022,66319
20/01/2022,66567
21/01/2022,66170
24/01/2022,64530
25/01/2022,65077
26/01/2022,65524
27/01/2022,65325
28/01/2022,65822
07/02/2022,66517
08/02/2022,67710
09/02/2022,68057
10/02/2022,67710
11/02/2022,67213
14/02/2022,65573
15/02/2022,66219
16/02/2022,66021
17/02/2022,66815
18/02/2022,66567
21/02/2022,66517
22/02/2022,68405
23/02/2022,68455
24/02/2022,67958
25/02/2022,68355
28/02/2022,67560
01/03/2022,67560
02/03/2022,66815
03/03/2022,67809
04/03/2022,67461
07/03/2022,66666
08/03/2022,66666
09/03/2022,66468
10/03/2022,66319
11/03/2022,66070
14/03/2022,65424
15/03/2022,65275
16/03/2022,65275
17/03/2022,64977
18/03/2022,65375
21/03/2022,67014
22/03/2022,67163
23/03/2022,67064
24/03/2022,66567
25/03/2022,69001
28/03/2022,71535
29/03/2022,72777
30/03/2022,71733
31/03/2022,72429
01/04/2022,77496
04/04/2022,76999
05/04/2022,77098
06/04/2022,78887
07/04/2022,76999
08/04/2022,74515
12/04/2022,75857
13/04/2022,77595
14/04/2022,79235
15/04/2022,79582
18/04/2022,79582
