Date,Price
14/04/2021,22689
15/04/2021,23902
16/04/2021,23826
19/04/2021,24659
20/04/2021,23902
22/04/2021,22235
23/04/2021,22841
26/04/2021,22879
27/04/2021,23788
28/04/2021,23712
29/04/2021,24053
04/05/2021,25455
05/05/2021,25379
06/05/2021,26439
07/05/2021,27803
10/05/2021,29697
11/05/2021,28599
12/05/2021,28864
13/05/2021,28333
14/05/2021,27879
17/05/2021,28409
18/05/2021,29129
19/05/2021,29318
20/05/2021,28826
21/05/2021,28712
24/05/2021,28788
25/05/2021,30455
26/05/2021,30303
27/05/2021,30530
28/05/2021,31250
31/05/2021,33258
01/06/2021,32955
02/06/2021,32803
03/06/2021,33712
04/06/2021,34924
07/06/2021,34394
08/06/2021,32008
09/06/2021,32727
10/06/2021,32955
11/06/2021,33371
14/06/2021,34015
15/06/2021,34875
16/06/2021,33750
17/06/2021,34833
18/06/2021,35833
21/06/2021,35167
22/06/2021,34833
23/06/2021,34292
24/06/2021,33750
25/06/2021,34417
28/06/2021,35625
29/06/2021,35000
30/06/2021,34917
01/07/2021,35500
02/07/2021,35333
05/07/2021,34667
06/07/2021,32250
07/07/2021,32417
08/07/2021,30917
09/07/2021,29542
12/07/2021,27500
13/07/2021,28292
14/07/2021,28667
15/07/2021,30000
16/07/2021,29583
19/07/2021,27583
20/07/2021,29500
21/07/2021,29833
22/07/2021,30250
23/07/2021,29125
26/07/2021,28667
27/07/2021,29750
28/07/2021,29917
29/07/2021,30750
30/07/2021,31083
02/08/2021,31167
03/08/2021,30833
04/08/2021,31250
05/08/2021,32167
06/08/2021,31667
09/08/2021,32333
10/08/2021,32292
11/08/2021,31875
12/08/2021,31292
13/08/2021,31250
16/08/2021,31750
17/08/2021,33167
18/08/2021,33250
19/08/2021,33708
20/08/2021,32292
23/08/2021,31250
24/08/2021,31333
25/08/2021,32250
26/08/2021,31750
27/08/2021,31875
30/08/2021,33083
31/08/2021,33250
01/09/2021,33375
06/09/2021,35708
07/09/2021,35083
08/09/2021,36208
09/09/2021,37417
10/09/2021,37417
13/09/2021,36500
14/09/2021,36458
15/09/2021,38958
16/09/2021,39167
17/09/2021,39167
20/09/2021,37500
21/09/2021,38917
22/09/2021,38833
23/09/2021,38750
24/09/2021,37833
27/09/2021,36667
28/09/2021,38333
29/09/2021,38250
30/09/2021,38750
01/10/2021,38958
04/10/2021,40542
05/10/2021,39875
06/10/2021,40292
07/10/2021,39667
08/10/2021,39708
11/10/2021,39875
12/10/2021,40292
13/10/2021,40083
14/10/2021,40375
15/10/2021,41458
18/10/2021,41542
19/10/2021,41083
20/10/2021,41000
21/10/2021,41167
22/10/2021,40833
25/10/2021,39167
26/10/2021,39708
27/10/2021,40042
28/10/2021,40000
29/10/2021,39500
01/11/2021,38333
02/11/2021,38167
03/11/2021,37458
04/11/2021,38167
05/11/2021,38708
08/11/2021,38375
09/11/2021,38042
10/11/2021,37083
11/11/2021,36250
12/11/2021,37250
15/11/2021,36417
16/11/2021,35917
17/11/2021,35417
18/11/2021,33250
19/11/2021,31250
22/11/2021,32000
23/11/2021,32583
24/11/2021,31625
25/11/2021,32500
26/11/2021,33125
29/11/2021,32417
30/11/2021,32958
01/12/2021,32750
02/12/2021,32833
03/12/2021,31250
06/12/2021,29083
07/12/2021,30083
08/12/2021,29583
09/12/2021,29542
10/12/2021,28750
13/12/2021,29292
